Date,RSI_14,MACD_Histogram,MACD,Close,rolling_logvol_30,OBV,Volume,Low,MACD_Signal,High,log_returns
2014-05-16,50.88216761184624,0.04785143110658263,-0.4539358737092041,14.885,0.028371508675188294,1897520120.0,72737960,14.5775,-0.5017873048157867,14.944,-0.003162536700405648
2014-05-19,47.014186737050466,0.052965732147572164,-0.4355801396313215,14.838,0.027854337385749706,1851814440.0,45705680,14.6905,-0.48854587177889364,14.95,0.014817563522055037
2014-05-20,47.60195758564437,0.07198431775211483,-0.39856547458875013,15.0595,0.027913533650222144,1933733300.0,81918860,14.8375,-0.47054979234086497,15.223,0.012603268111799189
2014-05-21,47.65319426336376,0.09661034829870085,-0.3497868569674889,15.2505,0.027451382776885722,2001910160.0,68176860,15.076,-0.44639720526618976,15.298,-0.00032791186023105985
2014-05-22,47.473100749918494,0.110731622852561,-0.3079826767004885,15.2455,0.027273940562411923,1950374000.0,51536160,15.1505,-0.4187142995530495,15.427,0.023755471777411104
2014-05-23,51.64340387212968,0.14098434165578416,-0.24248387248331937,15.612,0.026467932740684763,2011488240.0,61114240,15.245,-0.38346821413910354,15.6175,-0.004558156384893595
2014-05-27,62.13434452871073,0.15152047993352802,-0.19406761422219354,15.541,0.026295189230369265,1914240460.0,97247780,15.369,-0.34558809415572156,15.7315,-0.0021256731247922514
2014-05-28,66.98462137434295,0.15122605113473986,-0.15655553023729674,15.508,0.026174354138086695,1859718160.0,54522300,15.371,-0.3077815813720366,15.691,0.011603810042135777
2014-05-29,75.15810276679836,0.1574709724560432,-0.11094286580198265,15.689,0.02626892494515124,1907030540.0,47312380,15.51,-0.26841383825802584,15.7435,-0.003927647026988154
2014-05-30,71.19599248591102,0.15165257097433799,-0.07884812454010337,15.6275,0.025880021183854664,1821828500.0,85202040,15.3785,-0.23050069551444136,15.7325,-0.011941112937206266
2014-06-02,57.29268292682925,0.13031908548642518,-0.0676018386564099,15.442,0.02593542306684984,1777716320.0,44112180,15.35,-0.19792092414283508,15.63,-0.005356894780261782
