Date,Volume,ATR_14,Bollinger_Upper,High,EMA_20,Close,Open,SMA_20,OBV,Low,rolling_logvol_30
2022-01-20,70488744.0,22.401000000000007,388.4116741889071,347.22,348.68937362120016,332.09,336.577,355.55135,16976369155.5,331.333,0.044137937171974756
2022-01-21,103416027.0,23.27335714285715,391.2005734164811,334.85,345.4459094668001,314.633,332.113,354.4685,16872953128.5,313.5,0.0427836182375126
2022-01-24,152375142.0,22.038571428571434,393.93793655321065,311.171,342.0701085652001,310.0,301.587,352.18514999999996,16720577986.5,283.823,0.04271652122178831
2022-01-25,86595906.0,21.160000000000007,395.31424695673826,317.087,338.6475267970858,306.133,304.733,349.25944999999996,16633982080.5,301.07,0.041954685267084714
2022-01-26,104867283.0,20.978142857142867,395.12118457257526,329.23,336.15442900688714,312.47,317.477,346.7418,16738849363.5,302.0,0.047482354198633996
2022-01-27,147109569.0,21.94935714285715,399.5227351887423,311.797,330.4603881490884,276.367,311.12,342.457,16591739794.5,276.333,0.047526464028643724
2022-01-28,134788950.0,21.819857142857153,401.3428402632544,285.833,325.8562559444133,282.117,277.187,338.72384999999997,16726528744.5,264.003,0.05044920936664394
2022-01-31,104436096.0,22.118428571428577,400.073988662222,312.663,324.559469663993,312.24,290.903,336.72285,16830964840.5,287.35,0.050449535078639675
2022-02-01,73138338.0,22.158142857142867,389.11307053818007,314.567,323.2125677912318,310.417,311.737,332.24735,16757826502.5,301.667,0.0502806078142393
2022-02-02,66793035.0,21.95935714285715,381.2070506235574,310.5,321.18156133492397,301.887,309.393,328.18185000000005,16691033467.5,296.47,0.049732502543855736
2022-02-03,78855558.0,21.183571428571437,377.04696426686064,312.333,318.88303168397886,297.047,294.0,324.89885,16612177909.5,293.507,0.04827687707872844
2022-02-04,73625466.0,21.581428571428578,373.22095111038277,312.167,317.8249334283618,307.773,299.073,322.5425,16685803375.5,293.723,0.04702948261464013
2022-02-07,60994464.0,21.351214285714292,371.0883342840212,315.923,316.3603683399464,302.447,307.93,320.54885,16624808911.5,300.903,0.04685912752160827
2022-02-08,50729013.0,20.68021428571429,366.7736863605033,308.763,315.50061897423717,307.333,301.843,318.28015,16675537924.5,298.267,0.046955838045685816
2022-02-09,52259544.0,20.170857142857148,361.48873996703367,315.423,315.04027431002413,310.667,311.667,316.0735,16727797468.5,306.667,0.04716684655351163
2022-02-10,66126831.0,19.767500000000005,351.1263523389236,314.603,313.75234342335517,301.517,302.79,312.71235,16661670637.5,298.9,0.04784017556002537
2022-02-11,79645869.0,19.12057142857143,346.99963652292774,305.32,311.17278690684515,286.667,303.21,309.85305000000005,16582024768.5,283.567,0.048050966331519805
2022-02-14,67756416.0,19.06535714285715,339.7442036824151,299.627,309.3391881538123,291.92,287.19,306.95555,16649781184.5,284.383,0.04251576364644235
2022-02-15,57649542.0,18.24514285714286,333.0878829020296,307.667,309.1618369010682,307.477,300.0,305.15425,16707430726.5,297.792,0.04205840585196297
2022-02-16,51294396.0,16.26442857142857,328.9548697472919,308.81,309.0318524342998,307.797,304.683,303.94995,16758725122.5,300.403,0.04195687955414585
2022-02-17,55178418.0,15.878714285714283,323.6583583243061,306.167,307.42091410722367,292.117,304.42,301.9513,16703546704.5,291.367,0.0419641049959489
2022-02-18,68501841.0,14.869714285714284,322.51122256209817,295.623,305.3484460970119,285.66,295.333,300.50265,16635044863.5,279.203,0.04212485062088713
2022-02-22,83288202.0,15.278785714285712,323.2153085514379,285.578,302.347927421106,273.843,278.043,298.6948,16551756661.5,267.033,0.04313416766543705
2022-02-23,95257008.0,16.056142857142856,327.2604429003415,278.433,297.8081248095721,254.68,276.81,296.12215000000003,16456499653.5,253.52,0.04431873449488502
2022-02-24,135322275.0,17.151428571428568,326.5707105561083,267.493,294.8666843515176,266.923,233.463,293.84479999999996,16591821928.5,233.333,0.043573760683215605
2022-02-25,76067763.0,16.71735714285714,327.085803304265,273.167,292.4943334608969,269.957,269.743,293.5243,16667889691.5,260.8,0.04458946203566487
2022-02-28,99006867.0,17.239499999999996,327.10252526218665,292.287,292.27039694081145,290.143,271.67,293.92560000000003,16766896558.5,271.569,0.04437730023861217
2022-03-01,74766861.0,17.34935714285714,324.8298769211883,296.627,291.8754067559723,288.123,289.893,292.71975,16692129697.5,284.593,0.044533993801026496
2022-03-02,74643438.0,17.72885714285714,322.8816464699598,295.493,292.0107965887368,293.297,290.71,291.86375000000004,16766773135.5,281.424,0.04488375945650361
2022-03-03,61623507.0,17.88914285714285,321.84828672486424,295.48,290.8443397707619,279.763,292.923,290.75755,16705149628.5,277.533,0.044876173631306054
