Date,RSI_14,MACD_Histogram,MACD,rolling_logvol_30,OBV,Close,Low,High,Open,MACD_Signal,log_returns
2010-05-10,27.0002470966148,-0.25049054311365715,-0.16859145307380885,0.012997251131730203,-221902458.354838,22.2396,22.0621,22.6545,22.2649,0.08189909003984833,-0.0020930538533955796
2010-05-11,26.83447937131632,-0.23780413750090257,-0.21535608183627986,0.01299650765924338,-304884189.411384,22.1931,21.9551,22.7882,22.0474,0.0224480556646227,0.019234280033527035
2010-05-12,33.20404457099296,-0.19008569993197053,-0.21515906925034045,0.013453173545974485,-243605618.23133397,22.6241,22.2234,22.7358,22.3048,-0.025073369318369936,-0.006758970023028338
2010-05-13,34.5737230366981,-0.1597093240751836,-0.22471002441234944,0.013173037471970404,-302519896.83924794,22.4717,22.4262,22.8456,22.4953,-0.06500070033716585,-0.010737541479686447
2010-05-14,30.977064948617297,-0.14702141383998513,-0.24877746763714725,0.0132948356509747,-384908398.2055119,22.2317,22.0096,22.4486,22.4184,-0.10175605379716213,0.0003552853225833786
2010-05-17,32.64403879064457,-0.12992992199226172,-0.2641684562874893,0.013273136968216286,-324985847.2505319,22.2396,21.8648,22.4649,22.4349,-0.13423853429522759,-0.01180523092973434
2010-05-18,29.91212972189504,-0.1278387479726013,-0.2940369692609792,0.013428963538464291,-393500814.6752439,21.9786,21.8252,22.2892,22.1803,-0.1661982212883779,-0.012581892256484388
2010-05-19,27.01122037863361,-0.13584841875566378,-0.3360087447329576,0.013592415956692371,-473822065.7104559,21.7038,21.36,22.0474,21.921,-0.20016032597729383,-0.04081469935738974
2010-05-20,24.335980952752635,-0.18731623534837893,-0.4343056201627675,0.014831929957854258,-588207517.0788559,20.8358,20.7804,21.397,21.225,-0.2469893848143886,-0.010081459925544867
2010-05-21,19.63298782526597,-0.2208419757716874,-0.5230418545289979,0.014517840894395846,-741213727.5720458,20.6268,20.3192,20.8358,20.4199,-0.30219987875731047,-0.021413674758298876
2010-05-24,20.113240242600057,-0.25541157955204585,-0.6214643531973678,0.01483873750345691,-837041067.2187248,20.1898,20.1815,20.6415,20.6037,-0.36605277364532196,-0.007771654075675873
2010-05-25,20.35564256291036,-0.2703275080200114,-0.7039621586703362,0.01474968991919547,-964783393.6539749,20.0335,19.5045,20.2376,19.7141,-0.4336346506503248,-0.04145967169102013
2010-05-26,19.765553839451854,-0.3134741952943795,-0.8254773947682992,0.01579111047995008,-1194344820.2879648,19.2199,18.8762,20.4405,20.1666,-0.5120031994739197,0.03893571148417244
2010-05-27,33.742025709304784,-0.2707177729827779,-0.8504004157023921,0.017829808466905277,-1016999781.5188448,19.983,19.7744,20.2607,19.7804,-0.5796826427196142,-0.007756572160609149
2010-05-28,24.96365524402907,-0.23429599409919333,-0.8725526353436059,0.017833309362677255,-1104822347.3427029,19.8286,19.7219,20.0716,19.8443,-0.6382566412444126,0.003488858585279816
2010-06-01,26.278473686386334,-0.188943917467297,-0.8744365380785339,0.017605994299098374,-1005772587.4870188,19.8979,19.6161,20.2229,19.65,-0.685492620611237,0.021852274021333405
2010-06-02,26.409293496203347,-0.11630961169415888,-0.8308796352289356,0.018098042770481854,-920848666.2722268,20.3375,19.7744,20.3531,20.021,-0.7145700235347767,0.014837139846152887
2010-06-03,31.690676270508206,-0.038771525652637195,-0.7630344306005732,0.018465052153421306,-832630694.3180218,20.6415,20.2958,20.6998,20.3969,-0.724262904947936,-0.04056163067545062
2010-06-04,28.39293716949001,-0.03389911455014005,-0.766636798135611,0.019507159602896552,-949099594.8387117,19.821,19.6918,20.4199,20.0637,-0.732737683585471,-0.019589240045182636
2010-06-07,26.464710920051715,-0.04692579620898285,-0.7913949288466995,0.01961053363987475,-1053621362.6430117,19.4365,19.3986,19.8521,19.8443,-0.7444691326377166,-0.007172005823834395
2010-06-08,27.018686782101838,-0.054707830654164846,-0.8128539209554226,0.019488100673597353,-1167102433.8944116,19.2976,18.9463,19.4132,19.3918,-0.7581460903012578,-0.01291888363174127
2010-06-09,27.14480097831516,-0.0656133463377544,-0.8401627732234509,0.01951474948165172,-1280529839.6632416,19.0499,19.0197,19.6161,19.3831,-0.7745494268856965,0.008473231587477783
2010-06-10,34.08039215686274,-0.05160288967604909,-0.839053038980758,0.019652683435287695,-1178849728.6256316,19.212,19.0402,19.3297,19.3141,-0.7874501493047089,0.026194609615037192
2010-06-11,41.62269251421061,-0.00039663864074968025,-0.7879459476056461,0.02049893496926233,-1090372661.0109835,19.7219,19.0316,19.7665,19.2518,-0.7875493089648964,-0.006225637710616076
2010-06-14,44.19715706898923,0.03108789459983108,-0.7486894407151077,0.020429261153545195,-1156625645.1838164,19.5995,19.5744,19.9541,19.8979,-0.7797773353149388,0.041333917344329514
2010-06-15,53.41404526584565,0.10908478213628947,-0.6434213576445771,0.02200194781945975,-1050411011.4775565,20.4266,19.7804,20.4782,19.8044,-0.7525061397808666,-0.009626834477664539
2010-06-16,59.83616127023659,0.14662465368618616,-0.5692253226731339,0.021733467768864857,-1113673041.7562945,20.2309,20.1588,20.4266,20.3677,-0.71584997635932,0.0018124133015368484
2010-06-17,53.22470993473533,0.17133598712635845,-0.501679992451372,0.02174319061767131,-1051225859.8682425,20.2676,20.0122,20.494,20.4494,-0.6730159795777304,0.0025426999813182366
2010-06-18,55.69141531322501,0.18727160629548223,-0.4389264717083776,0.02123440876663588,-983465896.1331745,20.3192,20.1103,20.3899,20.2607,-0.6261980780038598,-0.018617849679143986
2010-06-21,50.50373740656486,0.16923272456039062,-0.4146571723033716,0.020961854702596035,-1054527427.6269286,19.9444,19.8979,20.6675,20.5572,-0.5838898968637622,-0.007044266942363955
2010-06-22,43.82399962927782,0.14544358369523946,-0.40208541724471303,0.020280205529964783,-1127278946.5366936,19.8044,19.7977,20.3289,20.1103,-0.5475290009399525,-0.018000511499821976
2010-06-23,36.36488591588015,0.10535355484248288,-0.41583705738684884,0.02043959288316264,-1207172221.8108575,19.4511,19.3831,19.8113,19.7888,-0.5211906122293317,-0.012368539932611326
2010-06-24,41.95253448913789,0.06419588590352332,-0.4409457548499276,0.019989149096306284,-1318045594.8952475,19.212,19.1605,19.7665,19.5656,-0.5051416407534509,-0.01896912091780278
2010-06-25,42.21471691088478,0.01660090522892166,-0.48439050921729887,0.020140468586746646,-1514567473.6213975,18.851,18.6822,19.2976,19.2288,-0.5009914144462205,-0.00899476399950406
2010-06-28,41.88169489736693,-0.020305932031469243,-0.5263738294855571,0.02012841375956722,-1610475684.8197105,18.6822,18.5382,18.914,18.8286,-0.5060678974540879,-0.04205007520571004
2010-06-29,36.81525117120461,-0.08685515646467068,-0.6146368430349263,0.02114467823244516,-1766148376.3852506,17.9129,17.7594,18.5995,18.5237,-0.5277816865702556,-0.012872157437967118
2010-06-30,32.55001370238426,-0.13382277213227256,-0.6950601517355963,0.021153565973773037,-1871521259.4433405,17.6838,17.6371,18.2013,17.8691,-0.5612373796033238,0.006409031754297373
